	b170D	b170F	b170I	b4859D	b4859F	b4859I	b689D	b689F	b689I	b8808D	b8808F	b8808I	b8826D	b8826F	b8826I	b8827D	b8827F	b8827I	b9366D	b9366F	b9366I	b9377D	b9377F	b9377I	b9382D	b9382F	b9382I	b9393D	b9393F	b9393I	nb170D	nb170F	nb170I	nb4859D	nb4859F	nb4859I	nb689D	nb689F	nb689I	nb8808D	nb8808F	nb8808I	nb8826D	nb8826F	nb8826I	nb8827D	nb8827F	nb8827I	nb9366D	nb9366F	nb9366I	nb9377D	nb9377F	nb9377I	nb9382D	nb9382F	nb9382I	nb9393D	nb9393F	nb9393I
ASV_1	4578	4088	1374	20370	16705	19812	15251	17623	13519	15398	13122	2575	4143	5005	7066	6335	2073	5886	11342	3319	2162	26412	31951	33352	24448	12414	6985	12651	11916	9732	386	67	113	198	21	168	386	318	418	266	50	91	184	74	251	408	170	826	900	669	818	183	14	28	133	133	156	368	40	55
ASV_2	2476	558	861	9568	4223	4086	12746	4464	6192	21269	2314	4325	11070	6002	7205	25048	2817	6433	21133	2247	4053	11729	779	1599	14523	3147	4808	14256	3567	5712	2063	231	227	1637	63	198	2285	507	584	3008	670	589	3102	301	564	3454	393	1376	3665	678	796	1783	165	296	2248	292	483	5112	456	300
ASV_3	2098	2671	2396	3370	5273	9366	5960	6078	9672	4041	2072	4991	493	986	5809	1171	616	4604	2613	1233	2566	2394	1556	8365	13467	5467	16111	14873	11565	17564	69	46	151	246	77	347	261	114	230	182	73	381	147	31	214	222	217	1011	303	153	353	164	21	104	324	322	2033	294	184	410
ASV_5	797	290	617	11598	3859	4729	9632	2727	5554	8934	1143	960	4186	2048	3291	3166	346	928	7528	872	1165	7155	448	921	4385	1324	1123	3055	1202	1280	1352	273	183	2262	320	261	3192	534	659	2318	261	228	2665	604	574	2061	300	340	2827	427	382	1853	131	254	6018	820	126	4076	217	204
ASV_4	30292	14315	6464	1187	1102	2216	2123	3168	2176	3195	7130	5495	593	1493	1415	1747	1137	2025	1322	605	486	896	2203	117	462	2671	1553	1821	2079	2661	4171	464	245	810	185	452	862	279	233	2203	1289	920	1206	47	222	1651	151	985	1556	1328	1068	579	99	92	175	124	52	1610	318	67
ASV_6	527	206	776	895	2265	3778	2663	2815	10104	2866	599	10031	912	1755	6029	5816	1362	12939	3287	719	7391	1005	369	170	1670	965	8564	1139	1010	4716	284	50	231	960	61	260	1617	284	569	749	130	765	740	138	720	1393	397	3657	1255	524	2136	574	51	132	1351	220	1133	1192	211	653
ASV_8	14458	5513	2270	1203	1103	1873	4402	2828	4014	4044	830	1668	927	661	2149	1903	311	859	2011	305	536	2350	229	316	3457	1194	1205	5683	2387	2009	2431	113	89	945	16	41	1196	196	230	1615	215	249	870	55	214	1123	53	271	1836	295	375	870	14	56	1205	86	239	1072	121	48
ASV_7	26	462	3351	26	3672	427	28	2528	4253	29	3777	439	63	9638	2233	69	19154	4904	41	1397	949	61	2114	114	42	3582	2436	172	3731	2072	3	2	3	3	18	0	3	2	2	3	0	1	1	6	8	2	3	9	5	4	3	1	5	0	11	0	0	3	48	2
ASV_9	603	15	646	553	93	12	421	1	0	364	63	85	43353	2734	628	381	45	184	448	104	2	309	124	564	7	216	27	0	68	59	63	46	185	92	2	48	63	49	52	149	97	335	115	14	158	50	39	26	108	22	40	170	29	119	138	26	102	47	42	54
ASV_11	518	566	578	69	117	323	61	2	30	202	81	125	579	694	681	325	185	184	251	114	81	846	123	229	82	272	137	85	150	381	308	158	332	904	4209	215	592	287	317	1091	636	370	2019	1334	375	1087	1443	316	826	398	231	1247	321	463	1300	2919	146	578	698	158
ASV_20	215	151	326	6149	1734	2504	2271	1169	1410	970	154	907	565	429	622	873	218	1178	766	172	209	181	98	211	385	271	570	463	471	886	126	45	137	205	29	64	226	108	94	656	219	350	333	76	88	279	103	124	178	125	158	114	4	37	143	30	56	407	132	125
ASV_10	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	490	5550	0	245	4734	2	178	100	1	301	589	0	360	4688	0	3	0	0	343	197	0	301	4223	1	173	273	0	109	7598
ASV_17	188	149	75	2033	827	1000	2902	922	1029	1316	92	251	154	202	345	1227	157	316	1147	161	304	2259	96	356	1635	364	1641	1586	822	940	53	37	32	151	26	37	219	94	119	154	158	77	160	54	100	202	58	69	163	45	94	123	19	40	238	66	61	253	47	55
ASV_14	16	42	28	54	88	37	35	9	4	113	40	126	86	213	227	38	28	76	40	14	5	345	79	127	9	47	29	46	168	48	343	4047	1450	353	1569	460	395	1672	479	659	1307	1415	327	570	476	646	1368	562	390	454	581	305	766	1212	148	457	75	651	747	194
ASV_12	51	106	76	17	21	46	9	2	4	8	13	15	2	73	36	70	36	35	12	13	17	9	30	67	1	62	4	8	16	4	744	569	244	443	544	370	983	2442	260	1460	3382	390	2618	1818	899	681	141	474	534	387	111	802	457	316	529	466	205	704	1100	50
ASV_15	141	197	31	139	82	414	100	16	61	273	60	54	990	386	130	1385	46	38	617	128	421	288	26	231	64	66	755	82	47	377	192	24	247	553	859	100	333	270	411	819	34	39	968	432	147	757	1152	257	242	319	271	680	269	319	1620	3753	167	141	189	135
ASV_13	43	32	58	5	11	1	4	0	0	5	17	3	0	42	4	22	47	28	1	9	1	1	18	0	0	33	14	0	19	14	432	549	75	177	248	75	50	83	31	218	180	133	94	16173	502	103	189	297	348	94	15	365	139	86	53	85	493	68	485	36
ASV_19	61	11	6	14	1	78	38	108	5223	0	0	155	1	11	6	6	25	0	12	4349	10816	79	139	2	26	12	0	261	5	9	0	6	1	1	0	1	6	1	1	0	5	5	3	2	1	4	0	0	2	3	1	3	0	0	18	0	6	0	2	0
ASV_16	13	171	77	4	11	0	1	3	0	37	34	35	53	243	426	26	82	70	23	48	18	24	24	105	0	76	13	13	73	144	603	548	959	1055	401	150	3891	2034	312	822	228	192	1083	805	533	715	100	197	489	380	283	841	230	320	225	110	64	794	321	121
ASV_18	20	123	120	14	178	619	13	35	25	9	114	40	44	798	660	66	44	139	42	88	42	9	74	22	16	180	42	11	83	73	161	147	545	155	1652	195	129	247	220	381	397	573	468	1489	379	1130	2550	351	339	420	594	218	356	159	173	1150	8	369	90	88
ASV_23	49	95	48	35	110	16	34	20	66	176	185	183	50	526	1157	288	267	283	112	87	128	165	60	110	10	193	117	84	1138	259	129	91	220	975	238	202	502	358	498	801	898	243	1237	637	847	419	302	242	465	369	115	443	95	131	195	264	0	392	253	97
ASV_26	213	51	40	59	44	253	26	2	60	69	12	49	161	50	98	201	16	37	378	101	176	65	8	145	12	10	94	53	17	174	176	22	323	559	5012	217	671	231	224	498	31	69	662	697	298	236	194	193	152	217	206	312	86	685	348	1452	306	123	388	99
ASV_27	8	21	112	13	49	20	11	1	1	8	30	140	9	53	118	29	34	41	18	71	39	0	61	711	30	56	13	31	99	96	183	165	213	654	75	251	543	413	407	561	213	1187	331	91	1113	751	1095	2097	366	395	1200	256	78	223	235	213	296	582	245	948
ASV_22	1	4	0	0	18	1	0	0	0	1	0	1	0	3	6	0	0	19	0	3	3	0	3	0	0	11	0	0	7	6	436	63	27	398	433	16	798	25	14	2175	97	12	1412	27	6	181	10	7	452	6	32	1744	6	12	5835	11	2355	335	79	13
ASV_21	2202	958	576	72	55	77	369	28	45	114	35	76	22	33	185	114	39	97	96	35	26	0	13	10	0	81	28	42	95	233	5188	66	179	414	3	107	367	45	50	904	70	117	681	47	58	681	90	365	502	106	117	445	8	53	59	3	14	341	3	9
ASV_30	1062	28	67	986	49	55	407	42	202	571	96	14	1859	115	111	4368	191	157	1768	83	29	27	789	0	2333	148	21	92	148	42	5	51	30	5	11	27	1	8	2	3	41	19	6	39	19	6	15	41	5	22	163	8	12	20	11	23	83	9	144	101
ASV_25	105	102	139	94	145	587	149	109	436	169	60	272	155	229	632	257	106	757	142	78	403	118	60	394	42	175	511	122	160	316	329	44	62	275	11	127	428	208	91	512	174	139	309	41	142	457	218	1280	553	221	1094	257	13	33	201	82	219	484	66	47
ASV_39	66	397	136	45	123	165	57	3	4	176	65	220	37	137	167	187	106	187	150	73	119	238	72	377	142	145	388	97	111	163	128	117	112	345	13	142	398	126	146	230	92	124	323	64	67	346	124	191	613	553	3438	415	118	161	524	167	530	426	234	60
ASV_24	1	9	84	2	233	141	2	0	2	3	24	69	1	738	410	43	17	107	6	94	50	0	12	95	0	35	7	4	57	86	28	245	86	35	282	214	48	43	42	353	290	2644	161	171	90	234	3020	546	101	320	2418	55	387	167	5	151	41	56	0	42
ASV_31	16	6	1	34	6	27	20	1	182	107	7	61	51	13	28	283	30	45	39	6	8	53	1	258	7	4	137	24	3	117	107	15	320	255	13	988	321	393	795	618	54	227	212	71	797	563	659	3125	127	279	420	347	60	661	76	64	675	102	92	147
ASV_32	1769	1035	954	102	149	784	670	68	176	122	104	146	52	180	393	160	98	302	83	66	45	111	199	236	22	274	161	156	141	277	2539	120	39	101	27	135	75	59	47	311	58	47	115	35	112	143	110	182	137	96	20	77	64	38	54	23	22	133	65	9
ASV_34	108	330	332	72	80	186	339	56	176	91	24	89	33	49	207	107	18	104	282	43	84	124	26	201	112	66	210	65	80	121	191	76	87	496	105	95	664	90	143	226	50	64	180	40	58	169	23	33	999	259	1852	1201	47	219	568	114	633	593	227	235
ASV_28	44	40	16	6	28	0	6	0	0	6	34	2	7	215	17	0	40	58	10	26	0	5	89	65	5	502	6	12	22	1	584	601	127	305	5	130	351	3257	157	491	292	126	1761	345	190	423	299	523	225	84	12	414	316	205	200	130	30	367	208	32
ASV_37	10	117	66	12	113	920	13	3	14	18	92	86	96	1151	911	120	51	80	76	96	157	119	46	227	43	204	123	27	59	107	57	38	109	165	799	60	101	81	154	174	74	148	304	400	125	696	862	177	191	247	293	154	41	53	465	1744	38	204	28	77
ASV_35	10	38	14	2	16	8	0	0	0	14	25	27	11	396	306	29	4	21	4	19	3	10	32	36	0	69	7	0	59	9	103	228	169	329	570	150	414	816	1099	190	155	308	177	170	356	423	705	435	235	402	294	214	144	1225	102	500	120	343	519	483
ASV_33	50	42	119	73	150	418	118	17	328	110	75	179	135	128	568	282	142	748	128	74	357	56	51	72	24	154	424	123	166	222	226	56	82	198	2	82	520	106	76	375	65	134	273	23	94	393	240	1174	460	172	727	176	6	12	165	44	177	405	43	26
ASV_36	17	1	27	25	19	20	18	1	1	40	14	41	17	98	42	18	5	6	21	5	0	641	22	45	3	20	4	32	33	5	186	324	160	634	589	255	742	633	512	349	253	139	426	239	139	513	229	75	859	224	54	444	169	543	510	144	40	1032	191	91
ASV_40	2	1	14	3	19	0	5	12	0	24	33	45	21	53	16	15	26	39	27	14	2	30	29	62	13	44	25	0	194	35	123	153	111	536	648	184	267	585	1036	426	348	173	287	487	184	576	941	450	320	348	170	274	619	203	135	129	130	429	664	177
ASV_43	36	33	26	32	49	18	40	183	0	126	15	9	129	93	67	46	11	15	31	15	0	401	6	71	0	14	15	49	45	95	215	458	182	286	270	59	707	317	189	388	342	343	618	198	212	639	454	196	1194	298	106	291	45	131	245	49	56	1261	217	71
ASV_41	2	94	53	2	47	21	1	1	4	4	22	9	6	65	515	8	43	65	3	32	40	1	14	0	0	56	15	7	58	39	274	1125	361	395	48	97	3049	397	163	145	441	322	72	145	179	102	20	2	246	180	116	799	255	174	123	208	48	186	292	237
ASV_44	646	1961	292	73	74	37	59	0	0	57	45	35	51	74	96	41	18	91	74	30	2	768	3335	32	3	214	3	63	99	115	2380	64	10	20	0	37	22	2	11	131	2	13	21	3	17	31	26	37	5	6	0	26	3	12	1	2	5	2	2	2
ASV_42	15	167	76	4	63	0	4	43	0	8	26	26	1	707	43	13	59	39	8	39	10	1	33	87	2	74	25	3	24	19	280	446	208	957	126	220	358	257	443	254	176	192	198	103	231	197	139	485	239	307	246	432	174	229	680	277	124	433	822	199
ASV_38	18	58	20	25	21	20	10	0	0	64	9	88	49	93	66	49	32	40	11	8	3	162	19	71	26	24	2	0	46	46	280	730	237	171	1494	78	239	384	160	498	571	340	168	490	91	414	214	81	298	233	135	192	108	245	119	725	13	721	421	25
ASV_59	175	22	52	108	272	199	124	24	19	113	29	116	4407	265	194	418	135	95	461	222	144	386	101	956	68	196	127	22	307	491	11	18	8	6	1	1	45	2	4	10	3	28	15	8	13	36	81	57	38	33	35	35	10	11	0	0	0	97	28	0
ASV_45	2	2	1	3	10	0	4	1	0	5	24	0	0	94	122	23	12	21	3	3	0	33	5	74	0	19	3	1	335	29	183	121	233	470	485	623	489	262	517	313	145	150	250	116	59	648	1105	396	304	235	230	272	497	169	250	137	67	322	309	165
ASV_83	183	371	31	76	25	235	64	2	27	156	12	31	654	212	54	654	36	6	200	25	71	360	7	180	15	28	187	28	39	207	73	7	96	107	61	27	166	97	183	521	14	28	297	94	40	370	673	209	92	159	81	245	118	45	566	1304	52	70	123	102
ASV_64	22	50	10	41	43	0	37	0	0	42	41	40	33	313	304	191	20	135	21	15	14	56	32	71	23	60	6	2	662	76	101	315	230	185	82	115	153	262	849	186	91	168	223	141	78	515	1307	300	269	316	119	147	313	254	115	131	43	451	252	94
ASV_61	40	17	10	1726	625	621	1285	769	207	65	16	54	42	7	10	65	36	37	174	40	20	92	42	116	1198	349	505	392	218	602	5	1	3	27	1	23	29	50	24	11	3	5	7	3	0	8	1	2	15	1	2	16	1	5	18	0	0	29	11	5
ASV_46	0	0	2	0	1	0	0	0	0	0	2	0	0	73	43	0	2	1	0	1	2	0	2	0	0	1	0	0	2	0	66	661	226	15	458	246	12	455	1311	95	153	307	95	42	61	285	1158	752	56	363	240	6	561	578	44	344	88	155	273	98
ASV_47	0	24	12	1	10	5	0	2	0	3	17	0	4	50	152	15	29	34	3	6	1	51	8	47	0	34	19	0	693	46	69	93	114	238	517	364	157	160	723	163	184	172	113	40	47	538	1278	341	258	246	227	123	205	331	150	340	93	259	328	149
ASV_49	0	0	3	1	0	0	0	0	0	0	3	0	2	0	0	0	10	5	0	1	3	0	2	0	0	5	0	58	0	7	0	0	0	1	0	0	0	2	6	0	1	0	1	0	0	1	4	0	3	0	0	2	201	8804	1	2	4	3	0	146
ASV_50	0	0	0	0	2	0	0	0	0	0	0	5	0	2	2	0	0	1	3	0	0	0	2	0	3	1	0	0	40	1	96	86	180	168	748	295	207	280	529	193	121	231	143	107	145	490	1497	908	227	556	162	122	320	240	63	158	110	228	343	223
ASV_65	0	0	4863	0	154	0	0	0	0	0	85	0	0	59	76	0	53	218	2	105	229	0	86	0	0	237	0	2	109	0	0	81	171	1	2	232	0	50	77	0	34	43	0	48	238	0	10	0	0	62	327	2	47	239	4	23	247	0	117	361
ASV_79	0	6	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	421	0	0	0	0	0	0	0	0	0	0	197	1155	3	115	977	1	128	226	0	343	190	0	130	1225	0	0	0	2	250	188	4	109	673	34	85	223	0	18	1856
ASV_66	49	197	245	38	60	76	57	149	613	101	16	229	131	137	495	347	48	153	107	24	192	284	15	201	24	38	42	32	38	103	528	25	65	186	3	3	387	71	79	531	108	112	447	12	57	219	54	37	172	189	199	122	16	25	148	26	79	180	46	47
ASV_55	243	66	192	248	275	213	107	300	659	66	69	79	412	201	318	392	318	325	119	1692	73	52	170	242	761	279	51	52	109	79	0	27	3	1	1	23	2	7	1	4	26	16	6	4	4	10	1	1	0	20	34	0	0	4	0	0	32	10	1	2
ASV_60	7	82	105	7	52	72	4	48	30	3	34	64	0	18	34	11	23	31	14	31	700	0	24	1	0	20	5	36	24	11	9	430	323	40	172	523	55	188	175	19	517	322	5	259	726	15	13	8	15	604	143	31	107	548	40	278	210	3	111	794
ASV_53	4	7	176	2	10	0	3	0	11	2	130	1	0	233	230	7	35	56	15	153	38	0	10	11	0	21	0	8	70	90	102	118	126	8	398	187	35	58	67	141	150	182	291	1201	152	130	1522	53	189	370	907	35	135	53	6	37	0	99	38	58
ASV_48	0	16	28	0	8	0	0	0	0	0	14	34	0	7	25	0	1	17	3	7	11	0	7	1	2	10	6	0	13	8	102	109	29	274	64	91	253	82	128	267	160	618	260	43	628	372	326	1112	213	178	899	142	12	88	113	74	168	253	180	682
ASV_70	60	458	583	15	70	125	17	2	3	195	33	149	45	113	82	137	74	109	86	35	146	719	50	1694	89	96	231	56	47	247	39	49	58	377	0	14	120	25	25	37	64	67	44	6	10	45	13	34	98	12	36	693	18	49	196	84	32	74	14	15
ASV_52	1	6	20	1	36	48	0	1	8	0	65	74	6	329	150	1	32	65	14	58	72	10	10	18	0	47	11	6	25	49	27	218	234	16	73	603	21	1324	186	36	319	143	83	824	64	76	290	197	37	395	189	31	583	114	6	590	1	36	3	70
ASV_57	14	6	21	13	22	7	16	2	0	27	49	76	3	43	92	24	49	53	58	27	34	0	28	246	13	76	47	6	21	22	141	84	142	341	3	55	265	191	158	353	306	479	243	48	235	346	117	376	293	313	459	195	38	58	161	109	319	300	136	267
ASV_58	0	37	30	0	124	40	4	0	0	1	12	0	0	572	261	4	10	11	3	37	42	0	15	165	0	27	3	13	26	106	7	49	63	22	169	100	44	31	76	47	143	211	27	248	65	81	420	145	97	291	2437	43	639	200	3	163	23	40	0	39
ASV_68	0	28	3	0	4	5	0	0	0	0	1	0	0	11	0	0	2	2	0	2	193	0	8	0	0	4	2	1	0	0	2	266	894	12	122	1020	6	54	40	0	228	223	1	177	1164	0	0	0	9	99	65	2	81	1021	22	93	157	15	30	1362
ASV_54	29	424	23	7	28	10	21	1	0	12	47	78	6	27	69	70	63	54	2	13	16	36	11	108	0	38	26	6	52	38	127	526	307	118	94	95	131	294	344	201	530	255	107	88	148	159	386	251	123	248	158	145	268	303	54	75	7	124	279	73
ASV_75	79	206	160	91	481	287	109	44	222	43	42	88	60	155	160	119	93	108	90	104	202	139	43	96	61	126	170	17	88	209	96	110	46	264	4	27	348	60	90	151	310	65	110	37	81	177	58	38	141	62	17	282	37	30	186	43	0	266	147	81
ASV_71	5	54	38	0	139	115	0	0	0	0	11	12	0	765	361	1	17	47	9	36	39	0	7	75	9	26	7	20	35	168	16	132	112	41	30	104	44	14	38	95	208	397	44	464	107	114	632	94	94	399	1254	40	467	106	7	92	2	54	32	12
ASV_78	45	61	104	24	323	25	37	123	14	135	228	612	18	211	433	107	89	163	163	169	124	6	57	3	51	434	110	2	51	64	76	123	55	188	5	43	142	59	36	143	64	208	78	27	331	148	44	151	129	97	198	127	9	30	66	63	147	122	96	224
ASV_63	0	0	1	0	1	0	0	1	0	0	0	0	0	3	0	1	19	1	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	15	0	4	4	13	14	0	5	2	2	0	3	2	1	11	38	2	0	194	6631	142	0	10	0	2	4	3
ASV_56	0	22	1	0	18	24	0	1	0	0	3	8	0	1	11	0	15	2	2	3	1	0	2	30	0	3	5	2	2	8	183	33	5	162	35	25	672	23	19	739	3	19	771	6	4	74	3	24	260	67	0	503	15	9	1383	2	1207	182	435	7
ASV_62	34	2	7	9	37	133	11	0	7	6	2	3	30	10	45	51	38	19	31	3	1	2	4	0	0	6	13	10	2	11	34	4	12	383	4477	82	157	54	61	121	15	24	177	74	156	32	19	31	93	5	4	70	19	43	40	76	5	69	56	15
ASV_51	1	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	3	0	0	0	14	130	20	115	5179	30	30	336	50	23	14	17	59	65	5	25	12	3	53	6	5	64	119	233	14	98	3	75	79	33
ASV_117	3	0	19	1	4	0	4	0	0	16	1	6	12	2	4	16	11	21	18	7	3	0	3	0	3	8	0	2	16	2	152	75	30	987	3	32	584	101	56	392	60	48	259	46	19	228	22	62	573	90	33	487	50	56	955	82	28	662	56	48
ASV_90	20	29	9	17	13	32	29	1	5	52	7	497	47	44	29	148	77	25	191	51	254	842	41	1706	25	49	647	118	88	424	7	3	6	43	21	4	35	17	157	39	1	4	221	11	25	80	10	47	8	7	0	58	18	4	17	31	32	14	5	12
ASV_93	14	70	115	9	166	71	11	34	60	7	32	272	8	100	201	22	149	128	57	226	289	228	151	423	65	373	378	56	335	999	13	22	14	87	2	8	102	36	109	19	16	118	19	4	6	8	1	9	119	22	149	153	23	68	68	48	0	65	7	51
ASV_72	26	29	38	27	52	269	15	183	16	19	20	130	4	46	154	48	12	56	8	24	41	0	15	27	5	36	92	0	22	32	49	101	52	187	201	1710	110	73	30	100	313	65	80	38	26	55	82	146	113	169	318	214	49	63	120	64	175	116	99	17
ASV_80	8	5	24	2	32	16	6	2	1	32	3	34	23	77	106	18	6	18	24	29	31	20	33	166	0	33	16	7	11	95	144	59	468	288	23	52	985	804	133	180	33	30	103	146	123	315	10	12	130	242	206	236	149	108	71	19	27	281	87	24
ASV_69	3	2	18	11	93	413	4	0	22	6	121	13	8	373	308	21	13	62	48	139	22	0	18	35	2	53	8	0	26	13	25	38	51	0	1287	113	3	58	98	29	55	174	32	108	37	105	454	64	26	199	745	4	166	40	11	288	25	25	198	3
ASV_77	2	0	2	3	6	0	0	0	0	0	0	2	0	2	1	93	2	0	3	0	20	0	3	0	0	0	0	8	0	0	2	102	972	1	170	1368	0	13	11	0	167	199	0	60	1364	0	1	0	2	186	78	0	34	462	10	128	139	0	19	473
ASV_73	13	12	43	4	24	18	2	0	0	2	27	8	5	219	125	5	2	57	2	38	30	2	16	18	4	41	17	7	30	22	44	53	159	30	662	48	35	65	87	114	287	178	68	532	92	102	771	119	105	185	637	47	92	85	53	462	27	58	14	32
ASV_74	4	33	11	8	16	0	13	0	0	30	28	15	15	215	195	90	86	38	23	23	3	45	16	44	8	36	22	8	296	30	48	19	36	264	46	112	107	113	737	208	37	27	350	506	96	186	184	96	186	222	135	147	46	31	84	102	18	276	238	24
ASV_102	91	226	133	8	20	0	10	2	0	78	19	12	45	174	41	70	111	38	71	44	22	44	16	31	14	46	21	26	34	53	112	76	53	521	25	47	292	183	166	171	121	40	142	50	80	167	42	168	175	85	34	362	188	99	511	117	46	297	79	60
ASV_111	0	2	74	1	7	0	0	1	0	1	11	21	1	30	22	8	41	17	6	25	7	0	16	116	2	8	0	0	12	2	91	478	198	31	478	153	37	377	486	73	201	173	67	60	108	65	130	111	77	277	129	15	280	153	244	306	108	237	364	18
ASV_84	8	150	57	2	33	9	1	0	1	4	27	13	2	110	367	6	29	32	2	27	11	0	13	0	0	54	1	0	53	26	191	613	130	315	13	63	1159	118	123	98	126	63	51	60	101	84	27	7	118	88	71	287	64	64	301	130	25	183	123	63
ASV_85	1214	93	115	106	106	57	94	7	134	178	179	128	135	214	157	256	51	113	235	73	8	206	987	1	67	78	14	49	137	91	308	0	8	5	18	1	15	0	0	44	0	2	29	1	14	31	10	5	27	10	1	7	5	29	0	10	0	18	1	3
ASV_104	815	422	262	19	23	30	47	0	3	26	21	5	13	18	35	47	86	40	29	29	60	8	34	1	1	70	43	15	19	15	1115	57	31	224	50	69	153	36	48	173	44	74	130	32	41	103	45	123	79	61	93	234	52	104	75	35	47	64	162	29
ASV_81	3	1	16	0	1	1	0	0	0	3	14	0	0	4	4	1	3	6	0	11	10	4	3	77	0	4	2	0	0	10	69	82	54	242	6	11	120	33	66	147	84	598	127	11	434	308	310	965	174	76	90	139	23	63	82	74	194	199	315	460
ASV_76	0	0	12	0	1	2	6	0	17	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	70	83	35	145	14	80	144	42	108	252	55	445	125	8	304	279	357	986	271	157	574	130	27	85	52	47	169	170	130	316
ASV_95	0	0	1874	3	67	0	0	0	0	0	44	4	0	39	37	0	20	79	4	30	43	0	34	0	0	119	0	1	36	2	2	154	253	0	8	328	0	118	245	0	230	95	0	98	333	1	2	0	13	99	38	0	79	332	1	136	322	1	41	322
ASV_67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	991	0	15	940	0	35	21	0	52	104	0	49	842	0	0	0	0	44	54	0	53	792	0	18	58	0	70	1475
ASV_115	0	1	2454	6	57	1	1	2	3	3	64	3	2	53	34	15	22	90	14	57	59	30	39	16	0	110	5	0	65	1	1	146	218	0	23	243	0	58	134	0	44	196	0	44	313	0	0	0	0	71	55	3	38	209	0	4	161	0	15	457
ASV_82	13	10	32	1	0	0	0	0	0	0	0	0	0	2	1	0	0	1	1	1	0	0	3	0	0	5	0	14	0	0	4669	44	19	115	0	0	102	5	1	209	4	1	37	0	2	37	2	0	17	1	0	170	5	1	6	0	0	10	0	0
ASV_109	3	0	0	25	0	0	11	0	0	12	0	0	10	1	0	221	0	0	97	35	370	0	0	0	0	0	0	2	5	0	0	238	419	0	5	426	0	139	153	0	271	86	0	83	601	0	0	0	0	248	81	1	114	412	4	96	221	0	53	1089
ASV_116	39	25	28	102	280	93	74	3	5	54	18	73	1641	71	71	53	12	48	280	134	128	390	102	884	27	117	74	14	121	316	0	26	21	0	1	8	5	4	4	4	8	15	7	2	19	8	49	5	2	1	0	0	4	10	2	0	13	3	18	11
ASV_87	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	14	250	0	1	0	0	0	0	2	0	0	1	459	547	1	207	358	1	124	157	2	121	137	3	224	498	0	37	2	2	208	78	2	168	466	4	49	548	0	106	715
ASV_92	1	13	19	0	59	79	9	0	7	1	15	24	2	380	208	3	28	33	4	75	34	0	9	0	0	26	8	13	46	106	10	244	51	32	27	160	36	112	140	52	405	422	39	168	156	35	185	93	74	263	327	25	652	180	12	237	14	35	9	22
ASV_106	10	23	11	20	99	27	10	0	1	8	0	59	29	34	134	37	26	32	104	83	94	40	30	289	27	26	59	39	62	343	162	391	117	224	140	26	187	121	109	159	96	170	275	106	114	106	8	3	124	97	11	147	10	23	164	52	10	96	372	30
ASV_86	21	0	2	3	2	0	2	1	0	4	4	0	28	33	2	10	26	5	4	5	13	2	6	22	0	7	8	5	1	8	79	58	117	126	111	32	102	96	71	455	160	1124	583	384	215	186	197	87	214	78	189	152	21	46	32	14	27	124	45	18
ASV_97	4	31	61	2	94	113	9	0	2	0	28	3	1	239	179	3	11	19	19	25	4	6	4	229	6	33	36	1	12	22	13	26	64	12	85	51	11	32	93	45	40	52	60	1427	75	57	543	161	19	41	144	16	123	17	52	777	25	13	1	1
ASV_110	0	0	22	0	12	0	0	4	0	0	19	15	0	257	166	7	59	56	2	50	4	1	13	51	0	28	2	0	288	27	16	241	413	3	125	150	1	178	788	35	185	238	14	9	16	49	360	109	24	149	429	4	135	255	11	104	8	33	54	38
ASV_88	1	0	14	0	14	15	2	0	0	0	0	0	0	1	0	0	0	0	1	1	168	0	4	0	0	1	0	0	18	6	2	402	538	1	56	763	3	39	21	6	88	130	1	201	699	4	1	3	6	81	20	2	120	632	15	35	121	9	67	944
ASV_96	3	0	5	2	19	0	0	0	1	0	1	0	1	5	0	17	0	1	6	0	75	0	0	0	0	0	0	8	0	1	3	378	375	7	221	367	1	126	246	0	216	211	1	221	441	4	34	0	6	230	144	0	131	329	15	116	483	0	109	690
ASV_94	1	1	11	0	10	0	1	1	0	1	19	43	7	106	151	46	66	61	3	18	16	2	16	59	0	28	3	0	50	3	49	147	208	29	341	191	16	188	420	116	73	128	75	93	112	123	562	158	77	103	104	26	204	70	33	81	26	234	473	11
ASV_128	296	57	18	1220	81	0	231	1	0	725	30	12	639	11	42	43	79	284	258	48	23	128	29	3	473	220	10	2	24	1	1	1	0	4	1	0	7	10	3	1	0	1	5	3	1	5	3	1	2	0	2	8	3	2	13	0	19	11	4	5
ASV_89	1	3	17	2	9	0	0	3	0	3	28	49	2	31	47	7	4	20	7	11	15	0	22	220	0	18	25	0	17	7	52	53	81	195	3	149	124	86	66	140	98	422	100	10	236	233	292	711	126	129	226	101	27	44	68	57	135	141	64	364
