	b170D	b170F	b170I	b4859D	b4859F	b4859I	b689D	b689F	b689I	b8808D	b8808F	b8808I	b8826D	b8826F	b8826I	b8827D	b8827F	b8827I	b9366D	b9366F	b9366I	b9377D	b9377F	b9377I	b9382D	b9382F	b9382I	b9393D	b9393F	b9393I	nb170D	nb170F	nb170I	nb4859D	nb4859F	nb4859I	nb689D	nb689F	nb689I	nb8808D	nb8808F	nb8808I	nb8826D	nb8826F	nb8826I	nb8827D	nb8827F	nb8827I	nb9366D	nb9366F	nb9366I	nb9377D	nb9377F	nb9377I	nb9382D	nb9382F	nb9382I	nb9393D	nb9393F	nb9393I
ASV_1845	8	0	0	0	0	0	0	0	0	1	0	17	0	1	3	2	0	0	4	0	0	1	0	0	0	0	0	0	0	0	10	0	0	7	2	5	11	6	7	8	0	1	12	2	2	6	1	0	4	3	2	4	1	2	13	0	0	5	17	0
ASV_2055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	52	43	0	58	0	0	0	0
ASV_2099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	9	0	5	0	0	0	0	0	0	0	0	3	1	0	0	146	0	0	0
ASV_2275	0	1	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	7	109	4	0	1	3	0	0	0	2	0	0	5	0	0	2	0	0	4	4	0	2	1	0	2	9	3
ASV_2523	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	29	6	61	2	1	53	0	0	0	0	0	0	2	0	0	0	2	0	0	0	1	0	0	1	1	0	0	0	0	0	2	0	1	2	0	0	0	0	0
ASV_2813	1	0	1	3	2	5	0	0	0	0	5	1	1	0	8	4	13	0	3	3	0	0	6	0	5	5	19	7	2	0	0	1	6	2	20	0	0	0	1	0	0	0	0	0	2	2	18	5	0	0	0	0	0	2	0	0	0	2	4	9
ASV_3068	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	2	2	0	0	0	16	4	0	3	6	8	2	0	2	3	5	2	2	10	16	0	1	40	1	0	2	0	0	0	0	2	3	3	0	0	3	0	2
ASV_1930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	38	1	0	0	0	0	0	3	1	1	17	80	12	0	0	0	5	0	0	0	0	0	0	0	0	7	1	0
ASV_2008	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	5	16	4	10	33	1	4	1	10	0	2	6	1	3	5	1	14	2	2	1	3	1	5	2	8	0	8	12	1
ASV_2027	1	0	1	6	2	0	1	1	0	3	3	4	3	8	15	2	30	11	0	0	0	1	3	31	6	0	4	0	0	8	0	0	0	0	0	0	2	0	4	0	0	1	9	0	0	2	0	0	1	0	0	0	0	1	0	0	0	2	0	1
ASV_2057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	8	23	0	1	0	0	0	2	0	12	31	0	0	0	0	14	2	0	0	10	6	10	18	0	2	15
ASV_2085	0	0	14	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	5	0	0	6	20	0	0	30	0	3	12	0	1	0	0	1	0	0	0	0	0	1	0	0	3	25	0	2	13	1	0	13
ASV_2381	0	0	4	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	3	0	0	19	0	0	4	4	1	8	24	0	1	0	1	18	3	0	15	7	2	4	2	1	3	1	0	19	17	0
ASV_2570	0	0	0	0	14	5	8	0	0	0	0	0	0	4	4	7	1	3	0	6	0	4	0	0	1	0	2	9	1	6	0	0	0	3	2	0	1	3	0	13	0	0	1	0	0	9	3	14	2	0	0	6	2	10	6	10	0	1	5	1
ASV_2616	5	0	8	0	5	0	1	0	0	2	0	2	1	7	0	0	1	0	2	0	2	0	1	0	0	5	1	4	8	9	10	7	2	7	0	0	1	7	0	4	0	3	19	0	2	5	0	2	8	0	2	13	0	3	3	2	0	1	0	2
ASV_2704	1	0	0	3	20	18	2	0	0	0	3	0	0	12	0	0	0	0	7	9	1	9	12	14	21	2	0	0	0	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	1	0	0	3	0	1	0	0	7	9	5	0
ASV_2774	0	0	0	0	7	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4	1	0	4	0	0	0	29	8	0	0	11	0	3	0	0	15	2	0	15	7	0	0	0	0	39	0	0	0	1	0	5	0	0	2	3
ASV_2866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	3	4	0	0	0	0	0	1	0	0	0	0	10	0	0	0	0	1	0	0	0	0	6
ASV_1634	2	0	0	0	3	0	1	0	0	1	0	0	0	2	1	0	1	0	1	3	0	1	0	0	0	2	1	0	1	0	8	8	1	12	0	3	6	2	5	2	1	3	11	0	1	5	2	0	12	17	0	6	6	2	2	25	0	5	1	0
ASV_1885	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	8	2	0	1	23	0	5	5	0	2	4	0	2	51	0	0	0	3	2	0	1	0	3	0	0	15	0	0	32
ASV_2068	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	20	0	0	0	0	2	4	0	0	0	0	0	7	0	56	0	2	1	0	0	0	4	1	0	54	0	0	6
ASV_2330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0
ASV_2424	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	8	0	6	0	0	0	2	0	0	0	5	0	5	2	13	5	0	1	6	3	2	0	2	13	0	9	2	0	5	16	2	14	18	1	14	7	0
ASV_2509	2	11	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	3	0	0	0	4	2	5	1	9	2	0	7	13	14	1	0	6	7	5	1	2	1	24	0	1	4	3	1	6	5	2	1	2	12	1
ASV_2785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	22	2	7	0	0	4	14	21	3	0	2	11	12	4	2	7	4	4	3	0	14	8	4	4	0	0	8	0	0
