OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_2171	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingorhabdus	Unassigned
ASV_2225	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Hymenobacteraceae	Hymenobacter	Unassigned
ASV_2316	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Unassigned	Unassigned
ASV_2426	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Parasutterella	Unassigned
ASV_2458	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Novosphingobium	Unassigned
ASV_2609	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	Unassigned
ASV_1584	Bacteria	Acidobacteria	Blastocatellia	Blastocatellales	Blastocatellaceae	Blastocatella	Unassigned
ASV_1829	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	Unassigned
ASV_2019	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Unassigned	Unassigned	Unassigned
ASV_2049	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	Unassigned
ASV_2677	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unassigned
ASV_1747	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Unassigned	Unassigned
ASV_2970	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Unassigned	Unassigned
ASV_3025	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Duganella	Unassigned
ASV_1283	Bacteria	Firmicutes	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_1499	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unassigned
ASV_2377	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Luteolibacter	Unassigned
ASV_2994	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Unassigned
ASV_1951	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Tessaracoccus	Unassigned
ASV_2005	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unassigned
ASV_2065	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Rhizorhabdus	Unassigned
ASV_2206	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Cytobacillus	Unassigned
