"","bac_Moraxellaceae","bac_Micrococcaceae","bac_Sphingomonadaceae","bac_Methylobacteriaceae","bac_Dermacoccaceae","bac_Staphylococcaceae","bac_Pseudomonadaceae","bac_Fusobacteriaceae","bac_Rhodanobacteraceae","bac_Acetobacteraceae","bac_Vibrionaceae","bac_Blastocatellaceae","bac_Dermabacteraceae","bac_Brevibacteriaceae","bac_Streptococcaceae","bac_Erwiniaceae","bac_Selenomonadaceae","bac_Chromobacteriaceae","bac_Paenibacillaceae_1","bac_Streptomycetaceae","bac_Burkholderiaceae","bac_Salisaetaceae","bac_Carnobacteriaceae","bac_Roseiarcaceae","bac_Pseudoalteromonadaceae","bac_Ilumatobacteraceae","bac_Spirochaetaceae","bac_Salinisphaeraceae","bac_Hafniaceae","bac_Clostridiales_Incertae_Sedis_XIII","bac_Hydrogenophilaceae","bac_Jonesiaceae","bac_Nocardiopsaceae","bac_Bacillales_Incertae_Sedis_XII","bac_Pectobacteriaceae","bac_Desulfobulbaceae","bac_Tsukamurellaceae","bac_Atopobiaceae","bac_Verrucomicrobiaceae","bac_Succinivibrionaceae","bac_Deferribacteraceae","bac_Listeriaceae","faprotax_chemoheterotrophy","faprotax_aerobic_chemoheterotrophy","faprotax_fermentation","faprotax_ureolysis","faprotax_human_pathogens_all","faprotax_sulfate_respiration","faprotax_respiration_of_sulfur_compounds","faprotax_knallgas_bacteria","faprotax_aerobic_ammonia_oxidation"
"bac_Verrucomicrobiaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bac_Succinivibrionaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bac_Deferribacteraceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bac_Listeriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"faprotax_chemoheterotrophy",0,0.574638487208009,0,0,0.636929922135706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"faprotax_aerobic_chemoheterotrophy",0,0.698331479421579,0,0,0.67119021134594,0,0,-0.657842046718576,0,0,0,0,0,0,-0.883870967741936,0,-0.598217763456553,0,-0.785859749467791,0,0,0,0,0,0,0,-0.673681451872094,0,-0.878231584694607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"faprotax_fermentation",0.630255839822024,-0.702780867630701,0,0,-0.559510567296997,0,0,0.717018909899889,0,0,0,0,0,0,0.820689655172414,0,0.656188922047199,0,0.742566062664114,0,0,0,0,0,0,0,0.595243859473621,0,0.839147980140135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"faprotax_ureolysis",-0.652502780867631,0,0.546607341490545,0.896774193548387,0,0,0,-0.547052280311457,0,0,0,0,0,0,0,0,-0.52776050916946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"faprotax_human_pathogens_all",0,0,0,0,0,0,0.691212458286986,0,0,0.719688542825362,0,0,0,0,0.559065628476085,0.597330367074527,0,0,0,0,0,0,0,0,0,0,0,0,0.539123839295512,0,0,0,0,-0.517257556471157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"faprotax_sulfate_respiration",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.682126675704584,0,0,0,0,0.513517276511781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"faprotax_respiration_of_sulfur_compounds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.682126675704584,0,0,0,0,0.513517276511781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"faprotax_knallgas_bacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.586472662298233,0,0.992825112107623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"faprotax_aerobic_ammonia_oxidation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
